date,numbers
31/10/2020,"10,15,18,19,27,28,31,32"
1/11/2020,"4,7,9,13,18,21,35,25"
14/11/2020,"5,7,14,20,23,25,27,9"
21/11/2020,"6,8,16,18,21,28,33,19"
28/11/2020,"8,17,18,28,31,32,33,2"
5/12/2020,"3,7,16,17,18,33,34,28"
12/12/2020,"3,7,13,20,22,23,27,2"
19/12/2020,"1,3,7,12,13,15,26,36"
26/12/2020,"2,11,13,19,24,28,33,18"
2/1/2021,"2,4,7,17,24,25,34,11"
9/1/2021,"9,16,19,21,27,28,34,14"
16/01/2021,"11,17,18,19,23,27,31,10"
23/01/2021,"13,14,16,23,31,32,35,5"
30/01/2021,"9,13,22,26,33,34,36,25"
6/2/2021,"2,13,18,23,25,34,35,9"
13/02/2021,"7,11,14,28,31,32,35,25"
20/02/2021,"2,14,17,18,29,32,34,10"
27/02/2021,"4,8,9,12,13,29,35,31"
6/3/2021,"4,14,15,20,22,33,34,23"
13/03/2021,"4,6,22,23,27,30,31,35"
20/03/2021,"12,13,14,22,29,30,31,11"
27/03/2021,"4,5,13,23,26,28,33,35"
3/4/2021,"12,15,16,18,29,32,33,36"
10/4/2021,"3,5,11,12,15,20,33,34"
17/04/2021,"6,8,9,22,23,26,32,14"
24/04/2021,"3,6,9,13,20,29,31,19"
1/5/2021,"9,14,17,20,28,30,31,26"
8/5/2021,"2,14,18,20,25,27,28,15"
15/05/2021,"2,9,18,19,21,24,32,20"
22/05/2021,"8,10,12,16,20,22,31,2"
29/05/2021,"16,17,20,23,27,30,31,10"
5/6/2021,"2,7,11,14,17,24,34,19"
12/6/2021,"3,7,8,15,19,20,21,5"
19/06/2021,"6,8,13,22,26,29,33,17"
26/06/2021,"1,7,20,24,29,33,36,16"
3/7/2021,"3,5,8,16,24,25,29,23"
10/7/2021,"4,6,7,9,10,34,35,11"
17/07/2021,"3,10,16,17,24,25,35,34"
24/07/2021,"3,6,7,18,19,23,26,34"
31/07/2021,"11,23,28,29,32,33,34,21"
7/8/2021,"1,5,7,18,22,28,35,10"
14/08/2021,"4,10,16,18,21,22,28,33"
21/08/2021,"1,6,10,15,23,24,34,16"
28/08/2021,"2,5,9,14,21,27,31,3"
4/9/2021,"3,4,9,19,30,32,35,21"
11/9/2021,"7,15,23,26,28,29,35,22"
18/09/2021,"3,9,20,24,25,29,33,31"
25/09/2021,"6,7,11,14,17,18,22,28"
2/10/2021,"1,2,4,16,19,28,31,17"
9/10/2021,"1,2,8,18,20,22,30,35"
16/10/2021,"7,9,10,12,18,20,27,29"
23/10/2021,"5,9,16,23,29,34,35,3"
30/10/2021,"3,8,11,25,26,27,28,14"
6/11/2021,"7,12,15,16,19,24,34,8"
13/11/2021,"9,13,16,23,30,31,33,35"
20/11/2021,"1,4,9,15,18,25,29,2"
27/11/2021,"1,13,18,20,21,24,27,9"
4/12/2021,"6,9,14,15,26,29,31,24"
11/12/2021,"3,16,25,28,32,33,35,20"
18/12/2021,"14,15,16,18,24,25,32,22"
25/12/2021,"4,11,17,22,28,35,36,26"
1/1/2022,"13,15,17,18,29,30,33,1"
8/1/2022,"1,4,10,12,23,28,32,29"
15/01/2022,"6,13,21,25,28,35,36,19"
22/01/2022,"3,8,11,12,15,28,35,33"
29/01/2022,"3,6,17,22,29,32,34,12"
5/2/2022,"10,14,21,22,24,28,33,15"
12/2/2022,"1,12,14,15,18,33,36,31"
19/02/2022,"2,3,4,10,13,24,33,30"
26/02/2022,"2,3,16,18,20,27,30,36"
5/3/2022,"14,16,24,27,29,31,34,36"
12/3/2022,"10,17,18,21,30,34,36,15"
19/03/2022,"6,7,15,21,22,30,35,25"
26/02/2022,"7,9,24,28,30,31,33,16"
2/4/2022,"10,20,27,28,29,32,33,1"
9/4/2022,"3,12,14,23,26,31,32,16"
16/04/2022,"2,4,10,11,13,16,17,28"
23/04/2022,"1,3,6,16,24,25,26,30"
30/04/2022,"6,13,24,26,27,28,33,17"
7/5/2022,"5,7,12,14,24,26,28,21"
14/05/2022,"7,11,15,16,18,30,31,3"
21/05/2022,"4,19,23,26,28,30,36,10"
28/05/2022,"2,5,7,9,18,31,35,12"
4/6/2022,"1,17,18,24,27,34,36,33"
11/6/2022,"9,15,17,18,29,35,36,23"
18/06/2022,"4,11,15,18,19,33,34,26"
25/06/2022,"1,14,17,23,25,28,33,29"
2/7/2022,"4,14,18,19,25,29,34,17"
9/7/2022,"4,11,16,18,19,30,34,10"
16/07/2022,"15,17,21,27,29,32,34,28"
23/07/2022,"4,7,9,15,30,35,36,20"
30/07/2022,"2,11,17,18,25,26,31,10"
6/8/2022,"14,16,22,23,24,28,35,31"
13/08/2022,"1,5,18,29,34,35,36,8"
20/08/2022,"2,8,11,20,21,25,27,3"
27/08/2022,"5,7,10,11,26,27,31,23"
3/9/2022,"2,4,16,21,24,26,36,5"
10/9/2022,"9,20,23,29,31,32,36,28"
17/09/2022,"7,19,21,22,25,32,36,2"
24/09/2022,"5,13,17,24,29,31,34,7"
1/10/2022,"12,16,17,20,22,26,33,21"
8/10/2022,"1,3,19,20,25,29,33,18"
15/10/2022,"2,3,16,17,28,30,35,31"
22/10/2022,"1,20,21,23,25,28,34,30"
29/10/2022,"6,7,10,17,22,32,35,18"
5/1/2022,"1,3,9,13,26,27,35,25"
12/11/2022,"2,4,9,10,12,14,24,1"
19/11/2022,"8,9,19,22,23,25,32,13"
26/11/2022,"2,8,22,23,24,25,27,26"
3/12/2022,"3,4,11,12,16,22,26,25"
10/12/2022,"4,5,9,12,15,17,19,8"
17/12/2022,"4,7,11,18,19,21,32,2"
24/12/2022,"13,16,18,19,20,24,26,22"
31/12/2022,"3,6,11,15,19,24,32,28"
